,wave,idx,years_edu,count,female_per,income,health,age,total_wealth,married_per
0,1,0,14.5,296,48,223,62,55.5,2448,93
1,1,1,11.9,2342,70,22,42,55.6,78,0
2,1,2,8.2,2283,37,25,22,58.1,80,98
3,1,3,12.8,4186,100,53,56,52.3,197,100
4,1,4,13.5,3544,0,57,57,56.6,219,100
5,2,0,14.6,268,48,269,59,57.4,1940,93
6,2,1,11.9,2068,71,24,41,57.5,98,6
7,2,2,8.2,1966,38,87,27,60.0,89,93
8,2,3,12.8,3869,100,59,53,54.2,251,96
9,2,4,13.5,3251,0,102,54,58.5,282,97
10,3,0,14.6,254,49,233,57,59.1,2200,91
11,3,1,11.9,1937,72,27,42,59.5,114,9
12,3,2,8.2,1787,39,27,28,61.9,100,90
13,3,3,12.8,3712,100,63,53,56.3,282,92
14,3,4,13.5,3085,0,70,53,60.5,313,96
15,4,0,14.5,254,48,226,55,61.3,3103,89
16,4,1,12.0,1835,72,29,37,61.3,118,10
17,4,2,8.0,1652,40,26,25,63.6,101,87
18,4,3,12.8,3575,100,63,48,58.1,330,89
19,4,4,13.5,2926,0,72,48,62.3,377,94
20,5,0,14.6,245,49,255,55,63.1,2909,88
21,5,1,12.1,1684,72,30,39,63.2,147,11
22,5,2,8.0,1523,40,27,26,65.3,112,84
23,5,3,12.8,3417,100,63,50,60.0,384,85
24,5,4,13.5,2761,0,71,49,64.2,429,93
25,6,0,14.6,233,50,193,54,65.4,2475,87
26,6,1,12.1,1610,73,35,38,65.3,224,12
27,6,2,7.9,1400,41,28,27,67.3,114,80
28,6,3,12.8,3335,100,61,49,62.1,393,82
29,6,4,13.5,2628,0,69,48,66.2,457,92
30,7,0,14.7,224,50,229,54,67.2,3528,87
31,7,1,12.1,1522,74,31,37,67.2,197,13
32,7,2,7.9,1312,42,27,25,68.9,127,76
33,7,3,12.8,3217,100,62,47,64.0,453,80
34,7,4,13.5,2498,0,71,46,68.0,533,91
35,8,0,14.6,215,49,215,53,69.3,3926,86
36,8,1,12.1,1423,74,31,37,69.2,233,14
37,8,2,7.9,1179,43,26,25,70.9,148,72
38,8,3,12.8,3090,100,61,46,66.0,525,76
39,8,4,13.5,2353,0,70,46,70.0,628,90
40,9,0,14.6,205,50,207,52,71.4,3484,84
41,9,1,12.2,1334,75,35,36,71.2,213,13
42,9,2,7.9,1064,44,26,25,72.6,145,66
43,9,3,12.8,3026,100,62,44,67.9,510,72
44,9,4,13.5,2214,0,104,45,71.8,596,88
45,10,0,14.4,194,52,176,52,73.5,3111,81
46,10,1,12.2,1209,75,31,37,73.5,205,14
47,10,2,7.9,925,44,25,26,74.8,137,62
48,10,3,12.8,2891,100,57,45,70.2,456,67
49,10,4,13.5,2034,0,64,45,74.1,546,85
50,11,0,14.5,180,53,175,52,75.0,2602,78
51,11,1,12.3,1117,76,30,36,75.1,195,13
52,11,2,7.7,826,45,25,25,76.3,144,60
53,11,3,12.8,2757,100,54,44,71.8,453,64
54,11,4,13.5,1869,0,65,44,75.6,547,84
55,12,0,14.5,163,55,173,48,76.5,2508,76
56,12,1,12.3,1002,76,32,36,77.0,208,12
57,12,2,7.7,681,47,25,24,77.8,135,55
58,12,3,12.9,2550,100,56,43,73.6,496,57
59,12,4,13.6,1633,0,68,42,77.2,608,82
60,13,0,14.5,144,55,139,47,78.6,2930,73
61,13,1,12.3,848,78,32,35,79.0,242,12
62,13,2,7.4,552,48,23,25,79.6,132,50
63,13,3,12.9,2247,100,54,42,75.6,513,53
64,13,4,13.6,1385,0,68,42,79.1,676,79
